ID,能力域,测试项,预期结果,实际结果,PASS_PARTIAL_FAIL_UNKNOWN,客户端版本,登录身份,测试日期,证据路径,已知限制,架构影响,替代方案,问题编号
DB-001,运行载体,豆包工作PC客户端可安装与登录,可正常进入工作台,,,,,,,,,,
DB-002,工作伙伴,创建仅本人可见的工作伙伴,可创建并保存,,,,,,,,,,
DB-003,工作伙伴,配置人设专长模型权限,配置可持久化,,,,,,,,,,
DB-004,技能,新建最小自定义技能,技能可保存和调用,,,,,,,,,,
DB-005,技能,导入本地技能文件,可成功导入,,,,,,,,,,
DB-006,技能,确认SKILL.md实际格式,获得可复现样例,,,,,,,,,,
DB-007,技能,脚本运行环境与依赖,明确语言沙箱网络限制,,,,,,,,,,
DB-008,技能,参考文档和模板,可绑定并在调用时使用,,,,,,,,,,
DB-009,技能,手动调用和自动匹配,两种路径均测试,,,,,,,,,,
DB-010,技能,更新回滚移除,版本可管理,,,,,,,,,,
DB-011,连接器,新建自定义连接器,可创建并授权,,,,,,,,,,
DB-012,连接器,访问localhost,明确是否支持,,,,,,,,,,
DB-013,连接器,访问可信HTTPS服务,可调用受限API,,,,,,,,,,
DB-014,连接器,认证和密钥存储,秘密不暴露于提示词,,,,,,,,,,
DB-015,飞书能力,文档读写,可读写私人空间,,,,,,,,,,
DB-016,飞书能力,表格和多维表格读写,可结构化持久化,,,,,,,,,,
DB-017,飞书能力,云盘文件管理,可读写指定目录,,,,,,,,,,
DB-018,飞书能力,日历和任务,可创建与更新,,,,,,,,,,
DB-019,本地能力,读取授权本地文件,可读取样本PDF,,,,,,,,,,
DB-020,本地能力,访问授权目录或目录监听,明确实际支持,,,,,,,,,,
DB-021,浏览器,打开并控制浏览器,可点击输入截图,,,,,,,,,,
DB-022,百度网盘,登录和用户接管,登录态可用验证码可接管,,,,,,,,,,
DB-023,百度网盘,打开指定课程,可按名称定位,,,,,,,,,,
DB-024,百度网盘,定位视频时间,可自动或给出稳定兜底,,,,,,,,,,
DB-025,百度网盘,读取可见播放进度,明确稳定性,,,,,,,,,,
DB-026,芝士架构,登录和用户接管,登录态可用,,,,,,,,,,
DB-027,芝士架构,打开指定章节年份错题,导航成功,,,,,,,,,,
DB-028,芝士架构,读取结果页可见统计,能提取最小结果,,,,,,,,,,
DB-029,芝士架构,官方导出流程,能获得可导入文件,,,,,,,,,,
DB-030,芝士架构,页面变化兜底,截图手工导入可用,,,,,,,,,,
DB-031,定时任务,一次性任务,到点执行并通知,,,,,,,,,,
DB-032,定时任务,每日任务,可读取状态且不重复写入,,,,,,,,,,
DB-033,定时任务,每周任务,可生成周报,,,,,,,,,,
DB-034,定时任务,失败重试,明确次数与幂等行为,,,,,,,,,,
DB-035,跨端,PC任务在移动端可查看,实际能力记录,,,,,,,,,,
DB-036,限制,单文件大小和数量,记录上限,,,,,,,,,,
DB-037,限制,单任务时长和调用频率,记录上限,,,,,,,,,,
DB-038,限制,上下文和长期历史,记录实际行为,,,,,,,,,,
DB-039,日志,失败信息和任务历史,可定位问题,,,,,,,,,,
DB-040,隐私,帮助模型改进效果设置,已确认用户选择,,,,,,,,,,
